sample_id,total_reads,pass_qc,reads_mapped,reference,percent_reference_coverage,median_coverage,count_minor_snv_at_or_over_5_pct,pass_fail_reason,subtype,mira_module,runid,instrument,clade,short_clade,subclade
3101678989_N90NX5J8_v1,338962,333103,2863,A_PB2,97.89,53,0,Median coverage < 100,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678991_N90NX5JS_v1,774498,765446,76628,A_HA_H3,99.82,3765,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3101678991_N90NX5JS_v1,774498,765446,97302,A_MP,100.0,8320,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678991_N90NX5JS_v1,774498,765446,54541,A_NA_N2,100.0,3318,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678991_N90NX5JS_v1,774498,765446,62714,A_NP,100.0,3597,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678991_N90NX5JS_v1,774498,765446,33103,A_NS,97.1,3194,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678991_N90NX5JS_v1,774498,765446,167493,A_PA,100.0,3244,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678991_N90NX5JS_v1,774498,765446,90154,A_PB1,100.0,1966,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678991_N90NX5JS_v1,774498,765446,150688,A_PB2,100.0,2511,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678992_N90NX5K2_v1,803648,796443,103649,A_HA_H3,99.82,5224,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3101678992_N90NX5K2_v1,803648,796443,120953,A_MP,100.0,10266,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678992_N90NX5K2_v1,803648,796443,68759,A_NA_N2,100.0,4048,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678992_N90NX5K2_v1,803648,796443,94552,A_NP,100.0,5363,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678992_N90NX5K2_v1,803648,796443,56195,A_NS,97.1,5533,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678992_N90NX5K2_v1,803648,796443,120283,A_PA,100.0,4504,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678992_N90NX5K2_v1,803648,796443,83967,A_PB1,100.0,3014,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678992_N90NX5K2_v1,803648,796443,127514,A_PB2,100.0,4490,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678994_N90NX5KM_v1,887238,879073,114955,A_HA_H3,99.82,5653,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3101678994_N90NX5KM_v1,887238,879073,141282,A_MP,100.0,11812,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678994_N90NX5KM_v1,887238,879073,102644,A_NA_N2,100.0,6114,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678994_N90NX5KM_v1,887238,879073,86256,A_NP,100.0,4776,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678994_N90NX5KM_v1,887238,879073,60338,A_NS,97.1,5727,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678994_N90NX5KM_v1,887238,879073,141269,A_PA,100.0,5302,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678994_N90NX5KM_v1,887238,879073,89668,A_PB1,100.0,3361,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678994_N90NX5KM_v1,887238,879073,121622,A_PB2,100.0,4540,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678997_N90NX5LG_v1,940622,931209,120838,A_HA_H3,99.82,5174,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3101678997_N90NX5LG_v1,940622,931209,122522,A_MP,100.0,10188,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678997_N90NX5LG_v1,940622,931209,111186,A_NA_N2,100.0,6085,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678997_N90NX5LG_v1,940622,931209,81737,A_NP,100.0,4510,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678997_N90NX5LG_v1,940622,931209,49887,A_NS,97.1,4672,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678997_N90NX5LG_v1,940622,931209,157658,A_PA,100.0,3052,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678997_N90NX5LG_v1,940622,931209,116637,A_PB1,100.0,2740,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678997_N90NX5LG_v1,940622,931209,135114,A_PB2,100.0,2524,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678999_N90NX5M0_v1,639386,632186,82206,A_HA_H3,99.82,3890,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3101678999_N90NX5M0_v1,639386,632186,113379,A_MP,100.0,9607,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678999_N90NX5M0_v1,639386,632186,74708,A_NA_N2,100.0,4608,2,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678999_N90NX5M0_v1,639386,632186,62738,A_NP,100.0,3700,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678999_N90NX5M0_v1,639386,632186,36117,A_NS,97.1,3760,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678999_N90NX5M0_v1,639386,632186,79344,A_PA,100.0,2408,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678999_N90NX5M0_v1,639386,632186,63919,A_PB1,100.0,2410,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678999_N90NX5M0_v1,639386,632186,73675,A_PB2,100.0,2796,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679000_N90NX5MA_v1,746214,738854,105921,A_HA_H3,99.82,5167,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3101679000_N90NX5MA_v1,746214,738854,109455,A_MP,100.0,9236,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679000_N90NX5MA_v1,746214,738854,77105,A_NA_N2,100.0,4656,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
